; Diagram data of sequence 'DspData' [C:/TEMP/]

; Time Settings:
; Start Time = 0  SRT
; End Time = 874379125  SRT
; Time Step = 10 SRT


;               READOUT_EVENTS	                   X Gradient	                   Y Gradient	                   Z Gradient	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.6362650000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.1263740000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -6.6164850000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.1065950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.5967050000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -7.5967050000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -7.5967050000	
